"","GH","GA","scorer","time","scoring","game","league","covid","cens"
"1",0,1,"Maxi Romero",52,"Vélez Sarsfield","Tigre v. Vélez Sarsfield 0:3","Argentina","Antes",1
"4",1,0,"Gonzalo Bettini",13,"Banfield","Banfield v. Belgrano de Córdoba 2:1","Argentina","Antes",0
"7",0,1,"Nicolás Ibáñez",4,"Gimnasia de La Plata","Defensa y Justicia v. Gimnasia de La Plata 4:4","Argentina","Antes",1
"15",0,1,"Washington Camacho",84,"Rosario Central","Colón de Santa Fe v. Rosario Central 1:1","Argentina","Antes",1
"17",1,0,"Junior Arias",52,"Talleres de Córdoba","Talleres de Córdoba v. Lanús 5:2","Argentina","Antes",0
"24",0,1,"Ramón Ábila",18,"Huracán","Independiente v. Huracán 3:1","Argentina","Antes",1
"28",1,0,"Facundo Barceló",3,"San Martín de San Juan","San Martín de San Juan v. Patronato de Paraná 2:0","Argentina","Antes",0
"30",1,0,"Franco Sbuttoni",17,"Atlético Tucumán","Atlético Tucumán v. Godoy Cruz 2:1","Argentina","Antes",0
"33",0,1,"Lisandro López",13,"Racing Club","San Lorenzo v. Racing Club 1:1","Argentina","Antes",1
"35",1,0,"Darío Benedetto",8,"Boca Juniors","Boca Juniors v. Olimpo de Bahía Blanca 3:0","Argentina","Antes",0
"38",0,1,"Ignacio Scocco",32,"River Plate","Temperley v. River Plate 0:1","Argentina","Antes",1
"39",0,1,"Diego Zabala",52,"Unión de Santa Fe","Newell's Old Boys v. Unión de Santa Fe 1:1","Argentina","Antes",1
"41",0,1,"Rodrigo Contreras",39,"Arsenal de Sarandí","Estudiantes v. Arsenal de Sarandí 2:1","Argentina","Antes",1
"44",1,0,"Nicolás González",27,"Argentinos Juniors","Argentinos Juniors v. Chacarita Juniors 1:0","Argentina","Antes",0
"45",1,0,"Maxi Romero",43,"Vélez Sarsfield","Vélez Sarsfield v. Atlético Tucumán 2:0","Argentina","Antes",0
"47",0,1,"Tomás Chancalay",68,"Colón de Santa Fe","Arsenal de Sarandí v. Colón de Santa Fe 0:1","Argentina","Antes",1
"48",0,1,"Leandro Fernández",34,"Independiente","Olimpo de Bahía Blanca v. Independiente 1:1","Argentina","Antes",1
"50",1,0,"Epifanio García",66,"Belgrano de Córdoba","Belgrano de Córdoba v. San Martín de San Juan 1:0","Argentina","Antes",0
"51",0,1,"Fernando Márquez",83,"Defensa y Justicia","Estudiantes v. Defensa y Justicia 0:1","Argentina","Antes",1
"52",0,1,"Braian Romero",12,"Argentinos Juniors","Patronato de Paraná v. Argentinos Juniors 2:1","Argentina","Antes",1
"55",1,0,"Enrique Triverio",45,"Racing Club","Racing Club v. Temperley 4:1","Argentina","Antes",0
"60",0,1,"Carlos Rodríguez",66,"Tigre","Chacarita Juniors v. Tigre 1:1","Argentina","Antes",1
"62",1,0,"Juan Garro",29,"Godoy Cruz","Godoy Cruz v. Talleres de Córdoba 2:1","Argentina","Antes",0
"65",NA,NA,NA,90,NA,"Rosario Central v. San Lorenzo 0:0","Argentina","Antes",0
"66",0,1,"Renato Civelli",2,"Banfield","River Plate v. Banfield 3:1","Argentina","Antes",1
"70",0,1,"Darío Benedetto",84,"Boca Juniors","Lanús v. Boca Juniors 0:1","Argentina","Antes",1
"71",1,0,"Franco Soldano",21,"Unión de Santa Fe","Unión de Santa Fe v. Gimnasia de La Plata 1:0","Argentina","Antes",0
"72",1,0,"Ignacio Pussetto",45,"Huracán","Huracán v. Newell's Old Boys 1:0","Argentina","Antes",0
"73",0,1,"Martín Rivero",16,"Patronato de Paraná","Tigre v. Patronato de Paraná 1:3","Argentina","Antes",1
"77",NA,NA,NA,90,NA,"Colón de Santa Fe v. Estudiantes 0:0","Argentina","Antes",0
"78",1,0,"Nicolás González",18,"Argentinos Juniors","Argentinos Juniors v. Belgrano de Córdoba 1:2","Argentina","Antes",0
"81",0,1,"Franco Soldano",18,"Unión de Santa Fe","Defensa y Justicia v. Unión de Santa Fe 1:3","Argentina","Antes",1
"85",1,0,"Luis Leal",69,"Newell's Old Boys","Newell's Old Boys v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"87",1,0,"Marcos Senesi",75,"San Lorenzo","San Lorenzo v. Arsenal de Sarandí 1:0","Argentina","Antes",0
"88",0,1,"Germán Denis",90,"Lanús","Independiente v. Lanús 0:1","Argentina","Antes",1
"89",NA,NA,NA,90,NA,"Talleres de Córdoba v. Vélez Sarsfield 0:0","Argentina","Antes",0
"90",0,1,"Javier Mendoza",24,"Chacarita Juniors","Atlético Tucumán v. Chacarita Juniors 1:1","Argentina","Antes",1
"92",1,0,"Darío Cvitanich",18,"Banfield","Banfield v. Racing Club 1:0","Argentina","Antes",0
"93",0,1,"Leonel Galeano",12,"Godoy Cruz","Boca Juniors v. Godoy Cruz 4:1","Argentina","Antes",1
"98",0,1,"Rafael Borré",4,"River Plate","San Martín de San Juan v. River Plate 1:3","Argentina","Antes",1
"102",0,1,"Ramón Ábila",30,"Huracán","Gimnasia de La Plata v. Huracán 1:3","Argentina","Antes",1
"106",0,1,"Fernando Zampedri",22,"Rosario Central","Temperley v. Rosario Central 1:1","Argentina","Antes",1
"108",NA,NA,NA,90,NA,"Belgrano de Córdoba v. Tigre 0:0","Argentina","Antes",0
"109",1,0,"Adrián Balboa",9,"Patronato de Paraná","Patronato de Paraná v. Atlético Tucumán 2:1","Argentina","Antes",0
"112",NA,NA,NA,90,NA,"Huracán v. Unión de Santa Fe 0:0","Argentina","Antes",0
"113",0,1,"Ramiro Costa",40,"Temperley","Arsenal de Sarandí v. Temperley 0:1","Argentina","Antes",1
"114",0,1,"Lucas Olaza",56,"Talleres de Córdoba","Chacarita Juniors v. Talleres de Córdoba 0:1","Argentina","Antes",1
"115",0,1,"Darío Benedetto",15,"Boca Juniors","Vélez Sarsfield v. Boca Juniors 0:4","Argentina","Antes",1
"119",1,0,"Santiago García",60,"Godoy Cruz","Godoy Cruz v. Independiente 1:0","Argentina","Antes",0
"120",1,0,"Germán Conti",10,"Colón de Santa Fe","Colón de Santa Fe v. Defensa y Justicia 3:1","Argentina","Antes",0
"124",0,1,"Brahian Alemán",26,"Gimnasia de La Plata","Olimpo de Bahía Blanca v. Gimnasia de La Plata 0:1","Argentina","Antes",1
"125",0,1,"Darío Cvitanich",21,"Banfield","Rosario Central v. Banfield 0:4","Argentina","Antes",1
"129",1,0,"Gonzalo Martínez",18,"River Plate","River Plate v. Argentinos Juniors 1:1","Argentina","Antes",0
"131",NA,NA,NA,90,NA,"Racing Club v. San Martín de San Juan 0:0","Argentina","Antes",0
"132",1,0,"Alejandro Silva",61,"Lanús","Lanús v. Newell's Old Boys 1:0","Argentina","Antes",0
"133",0,1,"Fernando Belluschi",12,"San Lorenzo","Estudiantes v. San Lorenzo 1:3","Argentina","Antes",1
"137",NA,NA,NA,90,NA,"Defensa y Justicia v. Huracán 0:0","Argentina","Antes",0
"138",1,0,"Franco Soldano",46,"Unión de Santa Fe","Unión de Santa Fe v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"140",NA,NA,NA,90,NA,"Atlético Tucumán v. Belgrano de Córdoba 0:0","Argentina","Antes",0
"141",NA,NA,NA,90,NA,"San Lorenzo v. Colón de Santa Fe 0:0","Argentina","Antes",0
"142",0,1,"Juan Otero",2,"Estudiantes","Temperley v. Estudiantes 0:3","Argentina","Antes",1
"145",0,1,"José Sand",2,"Lanús","Gimnasia de La Plata v. Lanús 1:3","Argentina","Antes",1
"149",1,0,"Mauro Quiroga",88,"Argentinos Juniors","Argentinos Juniors v. Racing Club 2:0","Argentina","Antes",0
"151",1,0,"Junior Arias",76,"Talleres de Córdoba","Talleres de Córdoba v. Patronato de Paraná 1:0","Argentina","Antes",0
"152",0,1,"Fernando Zampedri",45,"Rosario Central","San Martín de San Juan v. Rosario Central 3:1","Argentina","Antes",1
"156",1,0,"Maximiliano Meza",51,"Independiente","Independiente v. Vélez Sarsfield 1:0","Argentina","Antes",0
"157",1,0,"Cristian Pavón",3,"Boca Juniors","Boca Juniors v. Chacarita Juniors 1:0","Argentina","Antes",0
"158",0,1,"Ignacio Scocco",10,"River Plate","Tigre v. River Plate 1:1","Argentina","Antes",1
"160",1,0,"Juan Álvarez",12,"Banfield","Banfield v. Arsenal de Sarandí 1:2","Argentina","Antes",0
"163",NA,NA,NA,90,NA,"Newell's Old Boys v. Godoy Cruz 0:0","Argentina","Antes",0
"164",0,1,"Jonathan Bottinelli",36,"Unión de Santa Fe","Lanús v. Unión de Santa Fe 2:1","Argentina","Antes",1
"167",1,0,"Ezequiel Cerutti",18,"San Lorenzo","San Lorenzo v. Defensa y Justicia 3:1","Argentina","Antes",0
"171",1,0,"Nicolás Leguizamón",30,"Colón de Santa Fe","Colón de Santa Fe v. Temperley 2:0","Argentina","Antes",0
"173",0,1,"Braian Romero",30,"Argentinos Juniors","Rosario Central v. Argentinos Juniors 1:3","Argentina","Antes",1
"177",0,1,"Pablo Mouche",38,"Banfield","Estudiantes v. Banfield 1:1","Argentina","Antes",1
"179",1,0,"Matías Vargas",33,"Vélez Sarsfield","Vélez Sarsfield v. Newell's Old Boys 1:0","Argentina","Antes",0
"180",1,0,"Andrés Ibargüen",80,"Racing Club","Racing Club v. Tigre 1:0","Argentina","Antes",0
"181",1,0,"Juan Imbert",1,"Chacarita Juniors","Chacarita Juniors v. Independiente 1:2","Argentina","Antes",0
"184",1,0,"Lucas Licht",6,"Godoy Cruz","Godoy Cruz v. Gimnasia de La Plata 3:0","Argentina","Antes",0
"187",NA,NA,NA,90,NA,"Belgrano de Córdoba v. Talleres de Córdoba 0:0","Argentina","Antes",0
"188",1,0,"Milton Casco",50,"River Plate","River Plate v. Atlético Tucumán 2:2","Argentina","Antes",0
"192",0,1,"Cristian Pavón",50,"Boca Juniors","Patronato de Paraná v. Boca Juniors 0:2","Argentina","Antes",1
"194",0,1,"Fernando Coniglio",33,"Huracán","Olimpo de Bahía Blanca v. Huracán 0:2","Argentina","Antes",1
"196",0,1,"Gabriel Carabajal",55,"San Martín de San Juan","Arsenal de Sarandí v. San Martín de San Juan 0:1","Argentina","Antes",1
"197",0,1,"Diego Vera",34,"Colón de Santa Fe","Banfield v. Colón de Santa Fe 1:1","Argentina","Antes",1
"199",0,1,"Facundo Monteseirín",6,"Arsenal de Sarandí","Argentinos Juniors v. Arsenal de Sarandí 3:2","Argentina","Antes",1
"204",1,0,"Ramón Ábila",12,"Huracán","Huracán v. Lanús 4:0","Argentina","Antes",0
"208",1,0,"Lucas Gamba",52,"Unión de Santa Fe","Unión de Santa Fe v. Godoy Cruz 2:0","Argentina","Antes",0
"210",1,0,"Luis Ardente",17,"San Martín de San Juan","San Martín de San Juan v. Estudiantes 1:0","Argentina","Antes",0
"211",1,0,"Favio Álvarez",4,"Atlético Tucumán","Atlético Tucumán v. Racing Club 3:1","Argentina","Antes",0
"215",1,0,"Juan Ramírez",44,"Talleres de Córdoba","Talleres de Córdoba v. River Plate 4:0","Argentina","Antes",0
"219",1,0,"Brian Sarmiento",30,"Newell's Old Boys","Newell's Old Boys v. Chacarita Juniors 2:1","Argentina","Antes",0
"222",1,0,"Nicolás Dibble",5,"Gimnasia de La Plata","Gimnasia de La Plata v. Vélez Sarsfield 4:0","Argentina","Antes",0
"226",0,1,"Gabriel Gudiño",13,"San Lorenzo","Temperley v. San Lorenzo 0:2","Argentina","Antes",1
"228",1,0,"Lucas Acosta",15,"Boca Juniors","Boca Juniors v. Belgrano de Córdoba 4:0","Argentina","Antes",0
"232",0,1,"Sebastián Ribas",34,"Patronato de Paraná","Independiente v. Patronato de Paraná 1:1","Argentina","Antes",1
"234",1,0,"Fernando Márquez",23,"Defensa y Justicia","Defensa y Justicia v. Olimpo de Bahía Blanca 1:1","Argentina","Antes",0
"236",1,0,"Lucas Menossi",16,"Tigre","Tigre v. Rosario Central 1:1","Argentina","Antes",0
"238",1,0,"Federico Rosso",42,"Chacarita Juniors","Chacarita Juniors v. Gimnasia de La Plata 2:0","Argentina","Antes",0
"240",1,0,"Ángel González",43,"Godoy Cruz","Godoy Cruz v. Huracán 2:1","Argentina","Antes",0
"243",0,1,"Claudio Mosca",10,"San Martín de San Juan","Colón de Santa Fe v. San Martín de San Juan 3:3","Argentina","Antes",1
"249",0,1,"David Depetris",25,"Olimpo de Bahía Blanca","Lanús v. Olimpo de Bahía Blanca 0:2","Argentina","Antes",1
"251",0,1,"Pablo Mouche",17,"Banfield","San Lorenzo v. Banfield 0:1","Argentina","Antes",1
"252",0,1,"Gervasio Núñez",53,"Atlético Tucumán","Rosario Central v. Atlético Tucumán 0:1","Argentina","Antes",1
"253",0,1,"Marcelo Torres",53,"Talleres de Córdoba","Racing Club v. Talleres de Córdoba 1:1","Argentina","Antes",1
"255",0,1,"Fernando Márquez",17,"Defensa y Justicia","Temperley v. Defensa y Justicia 1:4","Argentina","Antes",1
"260",NA,NA,NA,90,NA,"Belgrano de Córdoba v. Independiente 0:0","Argentina","Antes",0
"261",1,0,"Jonathan Schunke",47,"Estudiantes","Estudiantes v. Argentinos Juniors 1:0","Argentina","Antes",0
"262",0,1,"Edwin Cardona",42,"Boca Juniors","River Plate v. Boca Juniors 1:2","Argentina","Antes",1
"265",NA,NA,NA,90,NA,"Arsenal de Sarandí v. Tigre 0:0","Argentina","Antes",0
"266",NA,NA,NA,90,NA,"Patronato de Paraná v. Newell's Old Boys 0:0","Argentina","Antes",0
"267",0,1,"Franco Soldano",28,"Unión de Santa Fe","Vélez Sarsfield v. Unión de Santa Fe 0:2","Argentina","Antes",1
"269",0,1,"Guillermo Ortiz",63,"Colón de Santa Fe","Argentinos Juniors v. Colón de Santa Fe 0:1","Argentina","Antes",1
"270",NA,NA,NA,90,NA,"Atlético Tucumán v. Arsenal de Sarandí 0:0","Argentina","Antes",0
"271",0,1,"Joel Amoroso",89,"Belgrano de Córdoba","Newell's Old Boys v. Belgrano de Córdoba 0:1","Argentina","Antes",1
"272",1,0,"Nicolás Fernández",46,"Defensa y Justicia","Defensa y Justicia v. Lanús 3:0","Argentina","Antes",0
"275",NA,NA,NA,90,NA,"Banfield v. Temperley 0:0","Argentina","Antes",0
"276",0,1,"Nicolás Blandi",39,"San Lorenzo","San Martín de San Juan v. San Lorenzo 1:3","Argentina","Antes",1
"280",1,0,"Nicolás Domingo",82,"Independiente","Independiente v. River Plate 1:0","Argentina","Antes",0
"281",NA,NA,NA,90,NA,"Unión de Santa Fe v. Chacarita Juniors 0:0","Argentina","Antes",0
"282",1,0,"Matías Pérez García",27,"Tigre","Tigre v. Estudiantes 2:0","Argentina","Antes",0
"284",0,1,"Lautaro Martínez",37,"Racing Club","Boca Juniors v. Racing Club 1:2","Argentina","Antes",1
"287",0,1,"Fernando Zampedri",62,"Rosario Central","Talleres de Córdoba v. Rosario Central 0:1","Argentina","Antes",1
"288",1,0,"Nicolás Colazo",36,"Gimnasia de La Plata","Gimnasia de La Plata v. Patronato de Paraná 2:0","Argentina","Antes",0
"290",1,0,"Franco Troyansky",30,"Olimpo de Bahía Blanca","Olimpo de Bahía Blanca v. Godoy Cruz 1:1","Argentina","Antes",0
"292",1,0,"Mauro Bogado",25,"Huracán","Huracán v. Vélez Sarsfield 1:0","Argentina","Antes",0
"293",0,1,"Juan Kaprof",11,"Defensa y Justicia","Banfield v. Defensa y Justicia 0:1","Argentina","Antes",1
"294",0,1,"Norberto Briasco",14,"Huracán","Chacarita Juniors v. Huracán 0:2","Argentina","Antes",1
"296",0,1,"Maximiliano Caire",36,"Tigre","Colón de Santa Fe v. Tigre 3:1","Argentina","Antes",1
"300",1,0,"Fabricio Brener",83,"Belgrano de Córdoba","Belgrano de Córdoba v. Gimnasia de La Plata 2:0","Argentina","Antes",0
"302",1,0,"Sebastián Ribas",7,"Patronato de Paraná","Patronato de Paraná v. Unión de Santa Fe 2:3","Argentina","Antes",0
"307",1,0,"Nicolás Blandi",10,"San Lorenzo","San Lorenzo v. Argentinos Juniors 1:0","Argentina","Antes",0
"308",0,1,"Leandro Fernández",30,"Independiente","Racing Club v. Independiente 0:1","Argentina","Antes",1
"309",1,0,"Bautista Cejas",88,"Estudiantes","Estudiantes v. Atlético Tucumán 1:0","Argentina","Antes",0
"310",1,0,"Gonzalo Martínez",67,"River Plate","River Plate v. Newell's Old Boys 1:3","Argentina","Antes",0
"314",1,0,"Marco Rubén",4,"Rosario Central","Rosario Central v. Boca Juniors 1:0","Argentina","Antes",0
"315",0,1,"Nicolás Giménez",4,"Talleres de Córdoba","Arsenal de Sarandí v. Talleres de Córdoba 0:1","Argentina","Antes",1
"316",1,0,"Fabián Cubero",57,"Vélez Sarsfield","Vélez Sarsfield v. Olimpo de Bahía Blanca 3:0","Argentina","Antes",0
"319",1,0,"Adrián Arregui",4,"Temperley","Temperley v. San Martín de San Juan 1:0","Argentina","Antes",0
"320",1,0,"Diego Viera",54,"Godoy Cruz","Godoy Cruz v. Lanús 4:1","Argentina","Antes",0
"325",1,0,"Franco Fragapane",27,"Unión de Santa Fe","Unión de Santa Fe v. Belgrano de Córdoba 1:1","Argentina","Antes",0
"327",1,0,"Nicolás Fernández",7,"Defensa y Justicia","Defensa y Justicia v. Godoy Cruz 3:2","Argentina","Antes",0
"332",0,1,"Adrián Balboa",45,"Patronato de Paraná","Huracán v. Patronato de Paraná 1:1","Argentina","Antes",1
"334",1,0,"David Depetris",38,"Olimpo de Bahía Blanca","Olimpo de Bahía Blanca v. Chacarita Juniors 2:0","Argentina","Antes",0
"336",0,1,"Juan Sánchez",20,"Temperley","Argentinos Juniors v. Temperley 2:2","Argentina","Antes",1
"340",1,0,"Luis Leal",12,"Newell's Old Boys","Newell's Old Boys v. Racing Club 2:2","Argentina","Antes",0
"344",0,1,"Paulo Díaz",39,"San Lorenzo","Tigre v. San Lorenzo 1:2","Argentina","Antes",1
"347",0,1,"Lucas Melano",16,"Estudiantes","Talleres de Córdoba v. Estudiantes 0:1","Argentina","Antes",1
"348",1,0,"Guido Vadalá",35,"Boca Juniors","Boca Juniors v. Arsenal de Sarandí 2:0","Argentina","Antes",0
"350",1,0,"Nicolás Colazo",52,"Gimnasia de La Plata","Gimnasia de La Plata v. River Plate 2:1","Argentina","Antes",0
"353",NA,NA,NA,90,NA,"Lanús v. Vélez Sarsfield 0:0","Argentina","Antes",0
"354",1,0,"Luis Rodríguez",24,"Atlético Tucumán","Atlético Tucumán v. Colón de Santa Fe 2:0","Argentina","Antes",0
"356",1,0,"Maxi Rodríguez",3,"San Martín de San Juan","San Martín de San Juan v. Banfield 2:1","Argentina","Antes",0
"359",0,1,"Fernando Zampedri",35,"Rosario Central","Independiente v. Rosario Central 1:1","Argentina","Antes",1
"361",1,0,"Rafael Borré",67,"River Plate","River Plate v. Unión de Santa Fe 2:0","Argentina","Antes",0
"363",0,1,"Víctorio Ramis",69,"Godoy Cruz","Vélez Sarsfield v. Godoy Cruz 0:1","Argentina","Antes",1
"364",1,0,"Nicolás Blandi",7,"San Lorenzo","San Lorenzo v. Atlético Tucumán 2:0","Argentina","Antes",0
"366",0,1,"Lucas Menossi",7,"Tigre","Temperley v. Tigre 2:1","Argentina","Antes",1
"369",1,0,"Sebastián Ribas",78,"Patronato de Paraná","Patronato de Paraná v. Olimpo de Bahía Blanca 1:0","Argentina","Antes",0
"370",1,0,"Matías Suárez",83,"Belgrano de Córdoba","Belgrano de Córdoba v. Huracán 1:0","Argentina","Antes",0
"371",0,1,"Braian Romero",6,"Argentinos Juniors","Banfield v. Argentinos Juniors 2:3","Argentina","Antes",1
"376",0,1,"Leandro Fernández",18,"Independiente","Arsenal de Sarandí v. Independiente 1:2","Argentina","Antes",1
"379",1,0,"Germán Herrera",3,"Rosario Central","Rosario Central v. Newell's Old Boys 1:0","Argentina","Antes",0
"380",0,1,"Junior Arias",17,"Talleres de Córdoba","Colón de Santa Fe v. Talleres de Córdoba 0:2","Argentina","Antes",1
"382",0,1,"Brahian Alemán",3,"Gimnasia de La Plata","Racing Club v. Gimnasia de La Plata 3:1","Argentina","Antes",1
"386",0,1,"Wilmar Barrios",76,"Boca Juniors","Estudiantes v. Boca Juniors 0:1","Argentina","Antes",1
"387",1,0,"Facundo Barceló",39,"San Martín de San Juan","San Martín de San Juan v. Defensa y Justicia 1:0","Argentina","Antes",0
"388",1,0,"Matías Rodríguez",14,"Chacarita Juniors","Chacarita Juniors v. Lanús 3:0","Argentina","Antes",0
"391",1,0,"Mauro Matos",30,"Godoy Cruz","Godoy Cruz v. Chacarita Juniors 1:0","Argentina","Antes",0
"392",1,0,"Carlos Luna",25,"Tigre","Tigre v. Banfield 1:2","Argentina","Antes",0
"395",1,0,"Lucas Olaza",38,"Talleres de Córdoba","Talleres de Córdoba v. San Lorenzo 2:0","Argentina","Antes",0
"397",0,1,"Luis Amarilla",29,"Vélez Sarsfield","Defensa y Justicia v. Vélez Sarsfield 0:1","Argentina","Antes",1
"398",1,0,"Luis Leal",61,"Newell's Old Boys","Newell's Old Boys v. Arsenal de Sarandí 2:1","Argentina","Antes",0
"401",1,0,"Gabriel Carrasco",26,"Lanús","Lanús v. Patronato de Paraná 1:1","Argentina","Antes",0
"403",1,0,"Cristian Pavón",3,"Boca Juniors","Boca Juniors v. Colón de Santa Fe 2:0","Argentina","Antes",0
"405",0,1,"Jonathan Ramis",21,"Belgrano de Córdoba","Olimpo de Bahía Blanca v. Belgrano de Córdoba 1:2","Argentina","Antes",1
"408",1,0,"Gastón Machín",52,"Argentinos Juniors","Argentinos Juniors v. San Martín de San Juan 2:0","Argentina","Antes",0
"410",1,0,"Ignacio Pussetto",29,"Huracán","Huracán v. River Plate 1:0","Argentina","Antes",0
"411",0,1,"Diego González",15,"Racing Club","Unión de Santa Fe v. Racing Club 2:1","Argentina","Antes",1
"414",1,0,"Ezequiel Bonifacio",1,"Gimnasia de La Plata","Gimnasia de La Plata v. Rosario Central 2:1","Argentina","Antes",0
"417",1,0,"Mauricio Affonso",4,"Atlético Tucumán","Atlético Tucumán v. Temperley 3:0","Argentina","Antes",0
"420",1,0,"Emmanuel Gigliotti",51,"Independiente","Independiente v. Estudiantes 1:2","Argentina","Antes",0
"423",1,0,"Lucas Barrios",49,"Argentinos Juniors","Argentinos Juniors v. Defensa y Justicia 2:1","Argentina","Antes",0
"426",NA,NA,NA,90,NA,"Patronato de Paraná v. Godoy Cruz 0:0","Argentina","Antes",0
"427",NA,NA,NA,90,NA,"Belgrano de Córdoba v. Lanús 0:0","Argentina","Antes",0
"428",NA,NA,NA,90,NA,"Banfield v. Atlético Tucumán 0:0","Argentina","Antes",0
"429",1,0,"Omar Tobio",9,"Rosario Central","Rosario Central v. Unión de Santa Fe 1:0","Argentina","Antes",0
"430",0,1,"Leandro Fernández",73,"Independiente","Colón de Santa Fe v. Independiente 0:1","Argentina","Antes",1
"431",1,0,"Ignacio Scocco",56,"River Plate","River Plate v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"433",1,0,"Juan Otero",23,"Estudiantes","Estudiantes v. Newell's Old Boys 4:2","Argentina","Antes",0
"439",NA,NA,NA,90,NA,"Arsenal de Sarandí v. Gimnasia de La Plata 0:0","Argentina","Antes",0
"440",1,0,"Rubén Botta",4,"San Lorenzo","San Lorenzo v. Boca Juniors 1:1","Argentina","Antes",0
"442",1,0,"Lautaro Martínez",11,"Racing Club","Racing Club v. Huracán 4:0","Argentina","Antes",0
"446",0,1,"Junior Arias",35,"Talleres de Córdoba","Temperley v. Talleres de Córdoba 0:1","Argentina","Antes",1
"447",1,0,"Mauro Matos",44,"Chacarita Juniors","Chacarita Juniors v. Vélez Sarsfield 2:0","Argentina","Antes",0
"449",NA,NA,NA,90,NA,"San Martín de San Juan v. Tigre 0:0","Argentina","Antes",0
"450",1,0,"Leonel Miranda",11,"Defensa y Justicia","Defensa y Justicia v. Chacarita Juniors 4:2","Argentina","Antes",0
"456",NA,NA,NA,90,NA,"Unión de Santa Fe v. Arsenal de Sarandí 0:0","Argentina","Antes",0
"457",0,1,"Guillermo Ortiz",82,"Colón de Santa Fe","Newell's Old Boys v. Colón de Santa Fe 0:1","Argentina","Antes",1
"458",0,1,"Adrián Balboa",11,"Patronato de Paraná","Vélez Sarsfield v. Patronato de Paraná 0:2","Argentina","Antes",1
"460",NA,NA,NA,90,NA,"Gimnasia de La Plata v. Estudiantes 0:0","Argentina","Antes",0
"461",1,0,"Franco Troyansky",56,"Olimpo de Bahía Blanca","Olimpo de Bahía Blanca v. Racing Club 1:2","Argentina","Antes",0
"464",1,0,"Juan Garro",7,"Godoy Cruz","Godoy Cruz v. Belgrano de Córdoba 2:1","Argentina","Antes",0
"467",1,0,"Lucas Olaza",24,"Talleres de Córdoba","Talleres de Córdoba v. Banfield 1:0","Argentina","Antes",0
"468",1,0,"Frank Fabra",60,"Boca Juniors","Boca Juniors v. Temperley 1:0","Argentina","Antes",0
"469",1,0,"Alejandro Silva",31,"Lanús","Lanús v. River Plate 1:0","Argentina","Antes",0
"470",1,0,"Luis Rodríguez",25,"Atlético Tucumán","Atlético Tucumán v. San Martín de San Juan 2:1","Argentina","Antes",0
"473",1,0,"Lucas Menossi",48,"Tigre","Tigre v. Argentinos Juniors 2:0","Argentina","Antes",0
"475",0,1,"Fernando Zampedri",9,"Rosario Central","Huracán v. Rosario Central 2:3","Argentina","Antes",1
"480",0,1,"Rubén Botta",14,"San Lorenzo","Independiente v. San Lorenzo 0:1","Argentina","Antes",1
"481",1,0,"Lucas Melano",56,"Estudiantes","Estudiantes v. Unión de Santa Fe 2:0","Argentina","Antes",0
"483",1,0,"Alejandro Donatti",29,"Racing Club","Racing Club v. Lanús 3:1","Argentina","Antes",0
"487",1,0,"Matías Suárez",3,"Belgrano de Córdoba","Belgrano de Córdoba v. Vélez Sarsfield 2:2","Argentina","Antes",0
"491",1,0,"Gastón Bojanich",4,"Argentinos Juniors","Argentinos Juniors v. Atlético Tucumán 2:2","Argentina","Antes",0
"495",1,0,"Rubén Botta",13,"San Lorenzo","San Lorenzo v. Newell's Old Boys 1:0","Argentina","Antes",0
"496",NA,NA,NA,90,NA,"Temperley v. Independiente 0:0","Argentina","Antes",0
"497",1,0,"Maximiliano González",8,"Rosario Central","Rosario Central v. Olimpo de Bahía Blanca 5:0","Argentina","Antes",0
"502",0,1,"Santiago Silva",6,"Talleres de Córdoba","San Martín de San Juan v. Talleres de Córdoba 1:1","Argentina","Antes",1
"504",1,0,"Lucas Wílchez",36,"Arsenal de Sarandí","Arsenal de Sarandí v. Huracán 1:1","Argentina","Antes",0
"506",0,1,"Juan Garro",13,"Godoy Cruz","River Plate v. Godoy Cruz 2:2","Argentina","Antes",1
"510",0,1,"Carlos Tévez",3,"Boca Juniors","Banfield v. Boca Juniors 0:1","Argentina","Antes",1
"511",0,1,"Fabian Bordagaray",10,"Defensa y Justicia","Tigre v. Defensa y Justicia 1:1","Argentina","Antes",1
"513",1,0,"Sebastián Ribas",19,"Patronato de Paraná","Patronato de Paraná v. Chacarita Juniors 3:0","Argentina","Antes",0
"516",1,0,"Javier Correa",53,"Colón de Santa Fe","Colón de Santa Fe v. Gimnasia de La Plata 1:0","Argentina","Antes",0
"517",1,0,"Franco Troyansky",45,"Olimpo de Bahía Blanca","Olimpo de Bahía Blanca v. Arsenal de Sarandí 2:1","Argentina","Antes",0
"520",1,0,"Ignacio Pussetto",51,"Huracán","Huracán v. Estudiantes 1:0","Argentina","Antes",0
"521",0,1,"Ricardo Centurión",58,"Racing Club","Godoy Cruz v. Racing Club 1:2","Argentina","Antes",1
"524",1,0,"Nahuel Molina",76,"Defensa y Justicia","Defensa y Justicia v. Patronato de Paraná 1:0","Argentina","Antes",0
"525",1,0,"Lautaro Acosta",60,"Lanús","Lanús v. Rosario Central 1:1","Argentina","Antes",0
